stage,case,problem,cores,seed,control_makespan,sa_makespan,makespan_delta,makespan_relative_delta,control_added_copy,sa_added_copy,added_copy_delta,control_evaluator_calls,sa_evaluator_calls,evaluator_call_delta,control_runtime,sa_runtime,runtime_delta,sa_uphill_accepted,result,copy_risk,tradeoff_note
stage1,case_001,1,2,2026,117436,117436,0,0.000000000000,3456,3456,0,22,24,2,2.278314,2.421275,0.142961,1,tie,low,
stage1,case_005,1,4,2026,95618,95404,-214,-0.002238072329,0,97254,97254,18,23,5,19.564026,22.772110,3.208084,1,win,high,small makespan gain with substantial added-copy increase
stage1,case_025,2,2,2026,2433638,2433638,0,0.000000000000,27648,27648,0,15,15,0,122.730298,124.139193,1.408895,0,tie,low,
stage1,case_050,2,2,2026,93992,93992,0,0.000000000000,202950,202950,0,36,36,0,25.397834,25.280025,-0.117809,0,tie,low,
stage2,case_001,1,2,2026,117436,117436,0,0.000000000000,3456,3456,0,22,24,2,2.335940,2.459086,0.123146,1,tie,low,
stage2,case_005,1,4,2026,95618,95404,-214,-0.002238072329,0,97254,97254,18,23,5,20.118001,23.179480,3.061479,1,win,high,small makespan gain with substantial added-copy increase
stage2,case_001,1,2,2027,117436,117436,0,0.000000000000,3456,3456,0,22,22,0,2.279786,2.278887,-0.000899,0,tie,low,
stage2,case_005,1,4,2027,95618,95404,-214,-0.002238072329,0,97254,97254,18,23,5,17.423625,22.496900,5.073276,1,win,high,small makespan gain with substantial added-copy increase
stage2,case_001,1,2,2028,117436,117436,0,0.000000000000,3456,3456,0,22,24,2,2.275520,2.384213,0.108693,1,tie,low,
stage2,case_005,1,4,2028,95618,95618,0,0.000000000000,0,0,0,18,18,0,16.987105,16.927055,-0.060049,0,tie,low,
expansion,case_039,1,4,2026,385717,385717,0,0.000000000000,13852672,13852672,0,36,36,0,81.013177,70.987945,-10.025233,0,tie,low,
expansion,case_046,1,4,2026,140604,140604,0,0.000000000000,6512800,6512800,0,28,28,0,4.099183,4.104091,0.004909,0,tie,low,
expansion,case_050,2,2,2026,93992,93992,0,0.000000000000,202950,202950,0,36,36,0,25.308207,24.879035,-0.429172,0,tie,low,
expansion,case_053,1,2,2026,777095,777095,0,0.000000000000,6347020,6347020,0,25,25,0,124.265426,120.669019,-3.596406,0,tie,low,
expansion,case_054,2,2,2026,510272,510272,0,0.000000000000,49152,49152,0,23,24,1,121.005728,121.346379,0.340652,0,tie,low,
expansion,case_058,1,2,2026,2230995,2230995,0,0.000000000000,37036032,37036032,0,17,18,1,120.306328,123.510730,3.204402,1,tie,low,
expansion,case_062,2,4,2026,829845,829845,0,0.000000000000,7836672,7836672,0,16,16,0,122.192628,121.991434,-0.201193,0,tie,low,
expansion,case_065,2,4,2026,13185,13185,0,0.000000000000,46084,46084,0,36,36,0,2.891126,2.840598,-0.050528,0,tie,low,
