case_001 p1 n2: baseline=128182, multiseed=117436, vns=117436
case_001 p1 n3: baseline=91228, multiseed=80914, vns=80019
case_001 p1 n4: baseline=71604, multiseed=59868, vns=59868
case_001 p1 n5: baseline=62833, multiseed=48544, vns=48544
case_001 p2 n2: baseline=121455, multiseed=116868, vns=116868
case_001 p2 n3: baseline=81968, multiseed=79640, vns=78545
case_001 p2 n4: baseline=61174, multiseed=58984, vns=58984
case_001 p2 n5: baseline=49554, multiseed=47502, vns=47502
case_001 p3 n2: baseline=121455, multiseed=116868, vns=116868
case_001 p3 n3: baseline=81968, multiseed=79640, vns=78545
case_001 p3 n4: baseline=61174, multiseed=58984, vns=58984
case_001 p3 n5: baseline=49554, multiseed=47502, vns=47502
case_002 p1 n2: baseline=149531, multiseed=149531, vns=144864
case_002 p1 n3: baseline=106571, multiseed=106571, vns=99763
case_002 p1 n4: baseline=88231, multiseed=86455, vns=83618
case_002 p1 n5: baseline=76136, multiseed=73138, vns=72210
case_002 p2 n2: baseline=140956, multiseed=140042, vns=137080
case_002 p2 n3: baseline=96119, multiseed=96089, vns=92763
case_002 p2 n4: baseline=71850, multiseed=71850, vns=71850
case_002 p2 n5: baseline=60785, multiseed=59723, vns=57839
case_002 p3 n2: baseline=140956, multiseed=140042, vns=137080
case_002 p3 n4: baseline=71850, multiseed=71850, vns=71850
case_002 p3 n3: baseline=96119, multiseed=96089, vns=92763
case_002 p3 n5: baseline=60785, multiseed=59219, vns=57791
case_003 p1 n2: baseline=592144, multiseed=551918, vns=525475
case_003 p1 n3: baseline=536896, multiseed=529142, vns=520890
case_003 p1 n4: baseline=596808, multiseed=544924, vns=537163
case_003 p1 n5: baseline=547499, multiseed=532183, vns=531368
case_003 p2 n2: baseline=462884, multiseed=394896, vns=385288
case_003 p2 n3: baseline=352159, multiseed=325633, vns=324351
case_003 p2 n4: baseline=363380, multiseed=363380, vns=343485
case_003 p2 n5: baseline=323446, multiseed=292162, vns=287382
case_003 p3 n2: baseline=462884, multiseed=394792, vns=385263
case_003 p3 n3: baseline=352091, multiseed=324861, vns=323669
case_003 p3 n4: baseline=362811, multiseed=362811, vns=343001
case_004 p1 n2: baseline=220628, multiseed=205161, vns=203443
case_004 p1 n3: baseline=181625, multiseed=145555, vns=143972
case_003 p3 n5: baseline=322756, multiseed=287416, vns=282781
case_004 p1 n4: baseline=176416, multiseed=128285, vns=123445
case_004 p1 n5: baseline=195006, multiseed=96903, vns=93015
case_004 p2 n2: baseline=199074, multiseed=199074, vns=199074
case_004 p2 n3: baseline=140995, multiseed=134043, vns=134043
case_004 p2 n4: baseline=104188, multiseed=101586, vns=101586
case_004 p3 n2: baseline=199074, multiseed=199074, vns=199074
case_004 p2 n5: baseline=108242, multiseed=87189, vns=82245
case_004 p3 n3: baseline=140995, multiseed=134043, vns=134043
case_004 p3 n4: baseline=104188, multiseed=101586, vns=101586
case_004 p3 n5: baseline=108242, multiseed=85419, vns=82297
case_005 p1 n2: baseline=100421, multiseed=95618, vns=95618
case_005 p1 n3: baseline=111292, multiseed=82548, vns=76823
case_005 p1 n4: baseline=163274, multiseed=95618, vns=95618
case_005 p2 n2: baseline=75335, multiseed=75335, vns=70607
case_005 p1 n5: baseline=131998, multiseed=76872, vns=75732
case_005 p2 n3: baseline=70382, multiseed=67812, vns=65735
case_005 p2 n4: baseline=69737, multiseed=69737, vns=63163
case_005 p2 n5: baseline=74430, multiseed=63065, vns=61797
case_005 p3 n2: baseline=75277, multiseed=75277, vns=70607
case_005 p3 n3: baseline=70071, multiseed=67783, vns=65677
case_005 p3 n4: baseline=68007, multiseed=68007, vns=61650
case_006 p1 n2: baseline=82582, multiseed=39287, vns=39164
case_006 p1 n3: baseline=86450, multiseed=33459, vns=31623
case_005 p3 n5: baseline=73052, multiseed=62771, vns=61585
case_006 p1 n4: baseline=86997, multiseed=38607, vns=35402
case_006 p2 n2: baseline=53286, multiseed=39164, vns=39164
case_006 p1 n5: baseline=67417, multiseed=32365, vns=30988
case_006 p2 n3: baseline=51153, multiseed=31183, vns=30478
case_006 p2 n4: baseline=54700, multiseed=23788, vns=23629
case_006 p2 n5: baseline=43669, multiseed=22715, vns=21934
case_006 p3 n2: baseline=52792, multiseed=39013, vns=38531
case_006 p3 n3: baseline=50619, multiseed=29478, vns=26108
case_006 p3 n4: baseline=51897, multiseed=23283, vns=23277
case_006 p3 n5: baseline=40726, multiseed=22715, vns=21464
case_007 p1 n3: baseline=364970, multiseed=342838, vns=342114
case_007 p1 n2: baseline=515714, multiseed=510234, vns=509624
case_007 p1 n5: baseline=231470, multiseed=212942, vns=210770
case_007 p1 n4: baseline=273316, multiseed=259402, vns=257738
case_007 p2 n2: baseline=509318, multiseed=509318, vns=508114
case_007 p2 n3: baseline=356282, multiseed=338094, vns=338094
case_007 p2 n4: baseline=261668, multiseed=256196, vns=256196
case_007 p2 n5: baseline=214674, multiseed=203834, vns=203834
case_007 p3 n3: baseline=356282, multiseed=338094, vns=338094
case_007 p3 n2: baseline=509318, multiseed=509318, vns=508105
case_007 p3 n4: baseline=261668, multiseed=256196, vns=256196
case_007 p3 n5: baseline=214674, multiseed=203834, vns=203834
case_008 p1 n2: baseline=262315, multiseed=244984, vns=244984
case_008 p1 n3: baseline=174656, multiseed=164386, vns=164386
case_008 p1 n5: baseline=134736, multiseed=119895, vns=115160
case_008 p1 n4: baseline=144322, multiseed=138341, vns=132493
case_008 p2 n2: baseline=253187, multiseed=244266, vns=244266
case_008 p2 n3: baseline=163359, multiseed=163359, vns=163359
case_008 p2 n5: baseline=100603, multiseed=100603, vns=100500
case_008 p2 n4: baseline=127366, multiseed=104264, vns=100895
case_008 p3 n2: baseline=253187, multiseed=244266, vns=244266
case_008 p3 n3: baseline=163359, multiseed=163359, vns=163359
case_008 p3 n5: baseline=100603, multiseed=100603, vns=100500
case_008 p3 n4: baseline=127366, multiseed=104264, vns=100895
case_009 p1 n3: baseline=160864, multiseed=99587, vns=99467
case_009 p1 n2: baseline=151617, multiseed=93675, vns=93198
case_009 p1 n4: baseline=186125, multiseed=93692, vns=93207
case_009 p1 n5: baseline=196860, multiseed=87043, vns=86230
case_009 p2 n2: baseline=119038, multiseed=92957, vns=92564
case_009 p2 n3: baseline=104698, multiseed=94203, vns=94134
case_009 p2 n4: baseline=115556, multiseed=92975, vns=92573
case_009 p2 n5: baseline=122082, multiseed=64587, vns=63152
case_009 p3 n2: baseline=119037, multiseed=92957, vns=92564
case_009 p3 n3: baseline=104675, multiseed=94203, vns=94134
case_009 p3 n4: baseline=115468, multiseed=92975, vns=92573
case_010 p1 n2: baseline=68845, multiseed=45343, vns=44232
case_010 p1 n3: baseline=69026, multiseed=35177, vns=35177
case_010 p1 n4: baseline=58462, multiseed=28886, vns=27068
case_010 p1 n5: baseline=59318, multiseed=31139, vns=29582
case_009 p3 n5: baseline=121266, multiseed=61599, vns=61029
case_010 p2 n2: baseline=52806, multiseed=44976, vns=44039
case_010 p2 n3: baseline=45417, multiseed=33224, vns=32083
case_010 p2 n4: baseline=39181, multiseed=29079, vns=24037
case_010 p3 n2: baseline=52689, multiseed=44976, vns=44039
case_010 p2 n5: baseline=36112, multiseed=24738, vns=23951
case_010 p3 n3: baseline=45353, multiseed=32734, vns=32059
case_010 p3 n4: baseline=38806, multiseed=29079, vns=24037
case_011 p1 n2: baseline=174606, multiseed=93168, vns=93168
case_010 p3 n5: baseline=34908, multiseed=24474, vns=23935
case_011 p1 n4: baseline=186744, multiseed=47748, vns=47748
case_011 p1 n3: baseline=186546, multiseed=70980, vns=69974
case_011 p2 n2: baseline=123018, multiseed=92646, vns=92646
case_011 p2 n3: baseline=128319, multiseed=65527, vns=65307
case_011 p1 n5: baseline=193400, multiseed=54920, vns=47126
case_011 p2 n4: baseline=127497, multiseed=46880, vns=46880
case_011 p2 n5: baseline=143493, multiseed=44089, vns=44089
case_011 p3 n2: baseline=122650, multiseed=92646, vns=92646
case_011 p3 n4: baseline=125757, multiseed=46880, vns=46880
case_011 p3 n3: baseline=127392, multiseed=65527, vns=64452
case_011 p3 n5: baseline=138901, multiseed=44089, vns=44087
case_012 p1 n2: baseline=61739, multiseed=31008, vns=30794
case_012 p1 n3: baseline=54825, multiseed=23512, vns=22043
case_012 p1 n4: baseline=79269, multiseed=18903, vns=17120
case_012 p2 n2: baseline=43217, multiseed=28808, vns=28808
case_012 p1 n5: baseline=77171, multiseed=18884, vns=16873
case_012 p2 n3: baseline=32362, multiseed=19880, vns=18679
case_012 p2 n4: baseline=39768, multiseed=15484, vns=14186
case_012 p3 n2: baseline=43074, multiseed=28808, vns=28808
case_012 p2 n5: baseline=37208, multiseed=15589, vns=14292
case_012 p3 n4: baseline=38192, multiseed=15429, vns=14186
case_012 p3 n3: baseline=31924, multiseed=19880, vns=18293
case_012 p3 n5: baseline=35805, multiseed=15375, vns=14292
case_013 p1 n2: baseline=140613, multiseed=134049, vns=133528
case_013 p1 n3: baseline=97501, multiseed=88898, vns=88898
case_013 p1 n4: baseline=78243, multiseed=72365, vns=71542
case_013 p1 n5: baseline=68087, multiseed=60131, vns=58993
case_013 p2 n2: baseline=135379, multiseed=132198, vns=132198
case_013 p2 n3: baseline=90460, multiseed=88351, vns=88351
case_013 p2 n4: baseline=70163, multiseed=66714, vns=66714
case_013 p3 n2: baseline=135379, multiseed=132198, vns=132198
case_013 p2 n5: baseline=56507, multiseed=54141, vns=54106
case_013 p3 n3: baseline=90460, multiseed=88351, vns=88351
case_013 p3 n4: baseline=70163, multiseed=66678, vns=66678
case_013 p3 n5: baseline=56507, multiseed=54105, vns=54001
case_014 p1 n3: baseline=6888291, multiseed=6001071, vns=6001071
case_014 p1 n2: baseline=9411103, multiseed=8921114, vns=8921114
case_014 p1 n4: baseline=4814489, multiseed=4544193, vns=4544193
case_014 p2 n2: baseline=9263915, multiseed=8857142, vns=8857142
case_014 p1 n5: baseline=4247502, multiseed=3679052, vns=3679052
case_014 p2 n3: baseline=6315000, multiseed=5995132, vns=5995132
case_014 p2 n4: baseline=4843714, multiseed=4533164, vns=4521196
case_014 p2 n5: baseline=4060875, multiseed=3712076, vns=3712076
case_014 p3 n2: baseline=9242454, multiseed=8844954, vns=8844954
case_014 p3 n3: baseline=6284340, multiseed=5987125, vns=5987125
case_014 p3 n4: baseline=4810406, multiseed=4507632, vns=4507632
case_015 p1 n2: baseline=203343, multiseed=88834, vns=87924
case_015 p1 n3: baseline=127964, multiseed=73666, vns=64037
case_015 p1 n4: baseline=172228, multiseed=58883, vns=48025
case_015 p1 n5: baseline=215080, multiseed=51342, vns=49023
case_015 p2 n2: baseline=162206, multiseed=87691, vns=84607
case_015 p2 n3: baseline=91512, multiseed=55814, vns=52476
case_015 p2 n4: baseline=134348, multiseed=45132, vns=43790
case_015 p2 n5: baseline=154119, multiseed=46450, vns=43418
case_015 p3 n2: baseline=161726, multiseed=87691, vns=84607
case_015 p3 n3: baseline=90652, multiseed=55501, vns=51965
case_015 p3 n4: baseline=130466, multiseed=43877, vns=42122
case_014 p3 n5: baseline=3934995, multiseed=3692460, vns=3692460
