case_034 p1 n3: baseline=368822, multiseed=292991, vns=292991
case_034 p1 n2: baseline=493415, multiseed=424344, vns=421245
case_034 p1 n4: baseline=355971, multiseed=223757, vns=221599
case_034 p1 n5: baseline=300351, multiseed=182911, vns=180581
case_034 p2 n2: baseline=436209, multiseed=419492, vns=419487
case_034 p2 n3: baseline=293630, multiseed=283407, vns=271473
case_034 p2 n4: baseline=265624, multiseed=208506, vns=207665
case_034 p2 n5: baseline=248346, multiseed=175569, vns=175084
case_034 p3 n2: baseline=434503, multiseed=419492, vns=419487
case_034 p3 n3: baseline=293174, multiseed=281977, vns=271277
case_034 p3 n4: baseline=264303, multiseed=207337, vns=206722
case_034 p3 n5: baseline=240940, multiseed=173564, vns=173520
case_035 p1 n2: baseline=179547, multiseed=100896, vns=100346
case_035 p1 n3: baseline=172432, multiseed=105907, vns=105754
case_035 p1 n4: baseline=198323, multiseed=100933, vns=100351
case_035 p1 n5: baseline=207237, multiseed=126429, vns=125105
case_035 p2 n2: baseline=152842, multiseed=100038, vns=99275
case_035 p2 n3: baseline=134308, multiseed=98323, vns=98323
case_035 p2 n4: baseline=134859, multiseed=99435, vns=98174
case_035 p2 n5: baseline=136118, multiseed=99007, vns=97907
case_035 p3 n2: baseline=152749, multiseed=100038, vns=99275
case_035 p3 n3: baseline=134307, multiseed=98323, vns=98323
case_035 p3 n4: baseline=134299, multiseed=99415, vns=97988
case_035 p3 n5: baseline=135716, multiseed=98993, vns=97804
case_036 p1 n2: baseline=477382, multiseed=466636, vns=466636
case_036 p1 n3: baseline=325630, multiseed=313714, vns=312819
case_036 p1 n4: baseline=253188, multiseed=234468, vns=234468
case_036 p1 n5: baseline=209619, multiseed=188224, vns=188224
case_036 p2 n2: baseline=470655, multiseed=466068, vns=466068
case_036 p2 n3: baseline=317096, multiseed=312440, vns=311345
case_036 p2 n4: baseline=242758, multiseed=233584, vns=233584
case_036 p2 n5: baseline=197382, multiseed=187182, vns=187182
case_036 p3 n2: baseline=470655, multiseed=466068, vns=466068
case_036 p3 n3: baseline=317096, multiseed=312440, vns=311345
case_036 p3 n4: baseline=242758, multiseed=233584, vns=233584
case_037 p1 n2: baseline=186035, multiseed=106048, vns=105875
case_036 p3 n5: baseline=197382, multiseed=187182, vns=187182
case_037 p1 n3: baseline=129202, multiseed=80697, vns=79144
case_037 p1 n4: baseline=149478, multiseed=57400, vns=57400
case_037 p2 n2: baseline=155847, multiseed=105374, vns=105374
case_037 p1 n5: baseline=108379, multiseed=44206, vns=44206
case_037 p2 n4: baseline=116068, multiseed=53320, vns=53320
case_037 p2 n3: baseline=100470, multiseed=72188, vns=71032
case_037 p2 n5: baseline=88272, multiseed=43013, vns=43013
case_037 p3 n2: baseline=155197, multiseed=105374, vns=105374
case_037 p3 n4: baseline=113752, multiseed=53320, vns=53320
case_037 p3 n3: baseline=98410, multiseed=72188, vns=70970
case_037 p3 n5: baseline=82098, multiseed=43013, vns=43013
case_038 p1 n2: baseline=710089, multiseed=690953, vns=690953
case_038 p1 n3: baseline=506696, multiseed=464506, vns=463523
case_038 p1 n4: baseline=682778, multiseed=352532, vns=351803
case_038 p2 n2: baseline=673452, multiseed=673452, vns=673452
case_038 p1 n5: baseline=519429, multiseed=286698, vns=286698
case_038 p2 n3: baseline=466950, multiseed=456738, vns=454994
case_038 p2 n4: baseline=471564, multiseed=349139, vns=349139
case_038 p2 n5: baseline=388425, multiseed=281493, vns=280538
case_038 p3 n2: baseline=673452, multiseed=673452, vns=673452
case_038 p3 n4: baseline=470248, multiseed=349139, vns=349139
case_038 p3 n3: baseline=466806, multiseed=456104, vns=454430
case_038 p3 n5: baseline=387200, multiseed=280957, vns=276602
case_039 p1 n2: baseline=1402476, multiseed=699004, vns=698719
case_039 p1 n3: baseline=714903, multiseed=501097, vns=486240
case_039 p1 n4: baseline=723190, multiseed=441849, vns=387298
case_039 p1 n5: baseline=562938, multiseed=316542, vns=316542
case_039 p2 n2: baseline=803755, multiseed=705086, vns=705060
case_039 p2 n4: baseline=515023, multiseed=362711, vns=353390
case_039 p2 n3: baseline=672663, multiseed=487521, vns=480630
case_039 p2 n5: baseline=431161, multiseed=325722, vns=317066
case_039 p3 n2: baseline=803331, multiseed=701871, vns=701809
case_039 p3 n3: baseline=670123, multiseed=473950, vns=472526
case_039 p3 n4: baseline=485423, multiseed=354188, vns=349026
case_040 p1 n2: baseline=241699, multiseed=132412, vns=131153
case_039 p3 n5: baseline=340476, multiseed=308064, vns=303012
case_040 p1 n3: baseline=235261, multiseed=126525, vns=125920
case_040 p1 n4: baseline=222002, multiseed=124803, vns=124580
case_040 p1 n5: baseline=178894, multiseed=109662, vns=109082
case_040 p2 n2: baseline=181458, multiseed=130995, vns=130995
case_040 p2 n3: baseline=154364, multiseed=118234, vns=111804
case_040 p2 n4: baseline=140482, multiseed=119456, vns=116144
case_040 p2 n5: baseline=110286, multiseed=82940, vns=81091
case_040 p3 n2: baseline=181250, multiseed=130959, vns=130959
case_040 p3 n3: baseline=153866, multiseed=118234, vns=111792
case_040 p3 n4: baseline=140285, multiseed=119456, vns=116144
case_040 p3 n5: baseline=109935, multiseed=81719, vns=80507
case_041 p1 n2: baseline=3130580, multiseed=3005028, vns=2994152
case_041 p1 n3: baseline=2097985, multiseed=2004415, vns=1997333
case_041 p1 n4: baseline=1658244, multiseed=1517764, vns=1512421
case_041 p1 n5: baseline=1302163, multiseed=1214163, vns=1214163
case_041 p2 n3: baseline=2162558, multiseed=2012563, vns=2007756
case_041 p2 n2: baseline=3137596, multiseed=3013900, vns=3013832
case_041 p2 n4: baseline=1627347, multiseed=1521010, vns=1511329
case_041 p2 n5: baseline=1297806, multiseed=1222347, vns=1215630
case_041 p3 n3: baseline=2160971, multiseed=2008303, vns=2003476
case_041 p3 n2: baseline=3134600, multiseed=3007339, vns=3007339
case_041 p3 n4: baseline=1605779, multiseed=1509004, vns=1507593
case_041 p3 n5: baseline=1296721, multiseed=1215556, vns=1212234
case_042 p1 n2: baseline=862955, multiseed=839218, vns=837160
case_042 p1 n3: baseline=671369, multiseed=569442, vns=561427
case_042 p1 n4: baseline=578232, multiseed=478435, vns=437257
case_042 p1 n5: baseline=743665, multiseed=368595, vns=368595
case_042 p2 n2: baseline=868686, multiseed=857074, vns=847773
case_042 p2 n3: baseline=642167, multiseed=586844, vns=574557
case_042 p2 n4: baseline=496876, multiseed=451869, vns=445255
case_042 p2 n5: baseline=450179, multiseed=376349, vns=367334
case_042 p3 n2: baseline=865919, multiseed=851748, vns=841158
case_042 p3 n3: baseline=625920, multiseed=583656, vns=578699
case_042 p3 n4: baseline=493029, multiseed=439185, vns=438804
case_042 p3 n5: baseline=446214, multiseed=375900, vns=354359
case_043 p1 n2: baseline=590740, multiseed=346822, vns=345924
case_043 p1 n3: baseline=551870, multiseed=273905, vns=273814
case_043 p1 n4: baseline=540954, multiseed=276486, vns=273419
case_043 p1 n5: baseline=706800, multiseed=274250, vns=272004
case_043 p2 n2: baseline=486551, multiseed=343864, vns=343864
case_043 p2 n3: baseline=439829, multiseed=262085, vns=262065
case_043 p2 n4: baseline=361262, multiseed=263990, vns=255010
case_043 p2 n5: baseline=355272, multiseed=266825, vns=264949
case_043 p3 n2: baseline=486551, multiseed=343864, vns=343864
case_043 p3 n3: baseline=439728, multiseed=262085, vns=262065
case_043 p3 n4: baseline=361017, multiseed=263990, vns=255010
case_044 p1 n2: baseline=210087, multiseed=99727, vns=98663
case_044 p1 n3: baseline=224893, multiseed=100222, vns=98644
case_043 p3 n5: baseline=354657, multiseed=266825, vns=264944
case_044 p1 n4: baseline=254232, multiseed=99727, vns=98663
case_044 p1 n5: baseline=270020, multiseed=101287, vns=99697
case_044 p2 n2: baseline=129770, multiseed=58375, vns=56489
case_044 p2 n3: baseline=144494, multiseed=63072, vns=61990
case_044 p2 n4: baseline=147904, multiseed=58136, vns=54445
case_044 p2 n5: baseline=179927, multiseed=67164, vns=53481
case_044 p3 n2: baseline=91627, multiseed=54550, vns=50676
case_044 p3 n3: baseline=92058, multiseed=49753, vns=46862
case_044 p3 n4: baseline=108470, multiseed=54376, vns=51792
case_044 p3 n5: baseline=125122, multiseed=56008, vns=48337
case_045 p1 n2: baseline=100949, multiseed=65200, vns=63525
case_045 p1 n3: baseline=80813, multiseed=44300, vns=44300
case_045 p1 n4: baseline=36611, multiseed=36611, vns=36141
case_045 p1 n5: baseline=114374, multiseed=31245, vns=29243
case_045 p2 n2: baseline=72128, multiseed=64655, vns=63287
case_045 p2 n3: baseline=55870, multiseed=43824, vns=43748
case_045 p2 n4: baseline=32265, multiseed=32265, vns=31961
case_045 p2 n5: baseline=61647, multiseed=26330, vns=26330
case_045 p3 n2: baseline=72128, multiseed=64655, vns=63287
case_045 p3 n3: baseline=55870, multiseed=43824, vns=43748
case_045 p3 n4: baseline=32265, multiseed=32265, vns=31961
case_046 p1 n2: baseline=259553, multiseed=158876, vns=157682
case_045 p3 n5: baseline=61081, multiseed=26330, vns=26330
