case_067 p1 n2: baseline=34176690, multiseed=33860812, vns=32041956
case_067 p1 n3: baseline=23631184, multiseed=23307333, vns=21698371
case_067 p1 n4: baseline=18518776, multiseed=18184929, vns=16378384
case_067 p1 n5: baseline=15967384, multiseed=15221905, vns=13955513
case_067 p2 n2: baseline=33768704, multiseed=33768704, vns=33768704
case_067 p2 n3: baseline=23568859, multiseed=21661023, vns=21315128
case_067 p2 n4: baseline=18473155, multiseed=16430138, vns=16369483
case_067 p2 n5: baseline=15931687, multiseed=14752484, vns=13310646
case_067 p3 n2: baseline=33768704, multiseed=33768704, vns=33768704
case_067 p3 n3: baseline=23568859, multiseed=22048605, vns=21544287
case_067 p3 n4: baseline=18473155, multiseed=16223001, vns=16168869
case_067 p3 n5: baseline=15931687, multiseed=14587654, vns=12955293
case_068 p1 n2: baseline=384947, multiseed=314610, vns=313437
case_068 p1 n3: baseline=378297, multiseed=310669, vns=309897
case_068 p1 n4: baseline=375093, multiseed=318136, vns=308971
case_068 p1 n5: baseline=307780, multiseed=307469, vns=299334
case_068 p2 n2: baseline=303998, multiseed=294702, vns=283789
case_068 p2 n3: baseline=249520, multiseed=249520, vns=230707
case_068 p2 n4: baseline=249480, multiseed=249480, vns=227697
case_068 p2 n5: baseline=243044, multiseed=243044, vns=220688
case_068 p3 n2: baseline=303703, multiseed=294595, vns=283703
case_068 p3 n3: baseline=248988, multiseed=248988, vns=229577
case_068 p3 n4: baseline=249142, multiseed=249142, vns=227423
case_069 p1 n2: baseline=47002, multiseed=25144, vns=25144
case_068 p3 n5: baseline=240837, multiseed=240837, vns=215999
case_069 p1 n3: baseline=69828, multiseed=16668, vns=16385
case_069 p1 n5: baseline=67541, multiseed=25144, vns=25144
case_069 p1 n4: baseline=79517, multiseed=20181, vns=18060
case_069 p2 n2: baseline=28805, multiseed=19847, vns=14263
case_069 p2 n3: baseline=41697, multiseed=15302, vns=13549
case_069 p2 n5: baseline=39298, multiseed=17475, vns=16374
case_069 p2 n4: baseline=44424, multiseed=14676, vns=13975
case_069 p3 n2: baseline=28790, multiseed=19847, vns=14263
case_069 p3 n3: baseline=41477, multiseed=15217, vns=13549
case_069 p3 n5: baseline=38768, multiseed=17205, vns=16229
case_069 p3 n4: baseline=44136, multiseed=14676, vns=14075
case_070 p1 n2: baseline=96654, multiseed=60891, vns=60891
case_070 p1 n3: baseline=80679, multiseed=44437, vns=39454
case_070 p1 n4: baseline=122820, multiseed=34291, vns=31584
case_070 p1 n5: baseline=123243, multiseed=33036, vns=31427
case_070 p2 n2: baseline=75314, multiseed=57740, vns=57739
case_070 p2 n3: baseline=64386, multiseed=42822, vns=39454
case_070 p2 n4: baseline=83296, multiseed=33532, vns=30489
case_070 p3 n2: baseline=75288, multiseed=57740, vns=57739
case_070 p2 n5: baseline=90700, multiseed=29022, vns=27785
case_070 p3 n3: baseline=64072, multiseed=42822, vns=39551
