case_id,n_cores,makespan,added_copy
case_001,1,233110,0
case_001,2,117436,3456
case_001,3,80019,18048
case_001,4,59868,8064
case_001,5,48544,10368
case_002,1,261945,0
case_002,2,144864,632832
case_002,3,99763,777216
case_002,4,83618,586752
case_002,5,72210,620544
case_003,1,602212,0
case_003,2,525475,3831738
case_003,3,520890,4367194
case_003,4,537163,5366116
case_003,5,531368,2515696
case_004,1,392357,0
case_004,2,203443,340992
case_004,3,143972,562176
case_004,4,123445,801792
case_004,5,93015,1010688
case_005,1,95618,0
case_005,2,95618,0
case_005,3,76823,1908400
case_005,4,95618,0
case_005,5,75732,1425224
case_006,1,82837,16400
case_006,2,39164,3456
case_006,3,31623,23428
case_006,4,35402,1012644
case_006,5,30988,375508
case_007,1,1012562,0
case_007,2,509624,87552
case_007,3,342114,142848
case_007,4,257738,201216
case_007,5,210770,256512
case_008,1,487605,0
case_008,2,244984,0
case_008,3,164386,0
case_008,4,132493,0
case_008,5,115160,0
case_009,1,153261,0
case_009,2,93198,133144
case_009,3,99467,605984
case_009,4,93207,133144
case_009,5,86230,2018636
case_010,1,86969,0
case_010,2,44232,234644
case_010,3,35177,333994
case_010,4,27068,466476
case_010,5,29582,101376
case_011,1,184697,0
case_011,2,93168,1081344
case_011,3,69974,1261568
case_011,4,47748,1261568
case_011,5,47126,1628160
case_012,1,59088,0
case_012,2,30794,8064
case_012,3,22043,69210
case_012,4,17120,49152
case_012,5,16873,36940
case_013,1,263949,0
case_013,2,133528,28672
case_013,3,88898,40960
case_013,4,71542,61440
case_013,5,58993,77824
case_014,1,17698626,71010720
case_014,2,8921114,62171040
case_014,3,6001071,59085216
case_014,4,4544193,57951648
case_014,5,3679052,58495392
case_015,1,177362,180256
case_015,2,87924,102912
case_015,3,64037,424704
case_015,4,48025,636448
case_015,5,49023,1017132
case_016,1,7715523,0
case_016,2,7717473,1179680
case_016,3,7719423,2359364
case_016,4,7721373,3539040
case_016,5,7722673,4325464
case_017,1,162810,22528
case_017,2,80141,225796
case_017,3,56672,532224
case_017,4,42605,536832
case_017,5,33561,232704
case_018,1,1004367,1970176
