case_id,n_cores,no_l2_makespan,no_l2_added_copy,l2_makespan,l2_added_copy,cache_hit_rate
case_001,1,233110,0,233110,0,0.0
case_001,2,116868,1152,116868,1152,0.0
case_001,3,78545,2304,78545,2304,0.0
case_001,4,58984,3456,58984,3456,0.0
case_001,5,47502,4608,47502,4608,0.0
case_002,1,261945,0,261945,0,0.0
case_002,2,137080,365568,137080,365568,0.006535947712418301
case_002,3,92763,414720,92763,414720,0.0
case_002,4,71850,703488,71850,703488,0.0
case_002,5,57839,1565184,57791,1560576,0.28421052631578947
case_003,1,602212,0,602212,0,0.0
case_003,2,385288,1933066,385263,1933066,0.17522520221784965
case_003,3,324351,3240190,323669,3240190,0.2874018222179396
case_003,4,343485,3031086,343001,3031086,0.27882425182478326
case_003,5,287382,5876674,282781,5876674,0.45991035618982795
case_004,1,392357,0,392357,0,0.0
case_004,2,199074,110592,199074,110592,0.0
case_004,3,134043,221184,134043,221184,0.0
case_004,4,101586,1112064,101586,1112064,0.09476309226932668
case_004,5,82245,3179520,82297,3179520,0.09033078880407125
case_005,1,95618,0,95618,0,0.0
case_005,2,70607,601638,70607,601638,0.11685600189639139
case_005,3,65735,573322,65677,573322,0.24448973072736738
case_005,4,63163,1617038,61650,1617038,0.3272199255294242
case_005,5,61797,935862,61585,983672,0.3862753295037126
case_006,1,82837,16400,82837,16400,0.029275126148920052
case_006,2,39164,3456,38531,231236,0.2279019604151594
case_006,3,30478,93596,26108,883590,0.2622993550477814
case_006,4,23629,364820,23277,364820,0.17069623109054105
case_006,5,21934,184740,21464,168484,0.23667401964228008
case_007,1,1012562,0,1012562,0,0.0
case_007,2,508114,41472,508105,35328,0.0016835016835016834
case_007,3,338094,55296,338094,55296,0.0
case_007,4,256196,82944,256196,82944,0.0
case_007,5,203834,110592,203834,110592,0.0
case_008,1,487605,0,487605,0,0.0
case_008,2,244266,0,244266,0,0.0
case_008,3,163359,0,163359,0,0.0
case_008,4,100895,3096576,100895,3096576,0.0
case_008,5,100500,36864,100500,36864,0.0
case_009,1,153261,0,153261,0,0.0
case_009,2,92564,0,92564,0,0.0
case_009,3,94134,22016,94134,22016,0.019034723499508868
case_009,4,92573,0,92573,0,0.0
case_009,5,63152,1271818,61029,1249802,0.29656411259289167
case_010,1,86969,0,86969,0,0.0
case_010,2,44039,27648,44039,27648,0.06715145509392169
case_010,3,32083,520024,32059,581208,0.33472179733483437
case_010,4,24037,157972,24037,157972,0.2382702383587927
case_010,5,23951,310688,23935,321052,0.3175080429357467
case_011,1,184697,0,184697,0,0.0
case_011,2,92646,180224,92646,180224,0.0
case_011,3,65307,1640448,64452,1656832,0.39880239520958083
case_011,4,46880,540672,46880,540672,0.0
case_011,5,44089,1171456,44087,1196032,0.55375
case_012,1,59088,0,59088,0,0.0
case_012,2,28808,3456,28808,3456,0.007088474665266474
case_012,3,18679,136870,18293,124570,0.11174608183804588
case_012,4,14186,18496,14186,18496,0.028768699654775604
case_012,5,14292,75616,14292,75616,0.0930691345846993
case_013,1,263949,0,263949,0,0.0
case_013,2,132198,8192,132198,8192,0.0
case_013,3,88351,16384,88351,16384,0.0
case_013,4,66714,40960,66678,40960,0.00597609561752988
case_013,5,54106,311296,54001,311296,0.008395522388059701
case_014,1,17698626,71010720,17689602,71010720,0.12291025483195864
case_014,2,8857142,60284832,8844954,60284832,0.33309565604574076
case_014,3,5995132,57561504,5987125,57561504,0.3265509429988177
case_014,4,4521196,58072080,4507632,58297872,0.39589235501296177
case_014,5,3712076,58340256,3692460,58340256,0.27411119306364967
case_015,1,177362,180256,177362,180256,0.1692685978123867
case_015,2,84607,696684,84607,696684,0.2838449588231036
case_015,3,52476,933008,51965,893062,0.3376388672057951
case_015,4,43790,1226136,42122,1160634,0.3906538177794172
case_015,5,43418,1409944,38750,1325978,0.3835549606445711
case_016,1,7715523,0,7715523,0,0.0
case_016,2,7715523,0,7715523,0,0.0
case_016,3,7715523,0,7715523,0,0.0
case_016,4,7715523,0,7715523,0,0.0
case_016,5,7715523,0,7715523,0,0.0
case_017,1,162810,22528,162810,22528,0.040398388942088706
case_017,2,68105,250640,68600,236936,0.1444498386011532
case_017,3,48159,167040,48159,167040,0.0278911584002461
case_017,4,38864,235008,38864,235008,0.23534850141405433
case_017,5,33558,228096,33558,228096,0.20226044071518604
case_018,1,1004367,1970176,1003110,1970176,0.34375031576536474
case_018,2,505515,1691008,504863,1691008,0.508748314352157
case_018,3,339600,7951364,339659,7894020,0.31102712900955315
case_018,4,266412,4284704,266153,4284704,0.6020649989405256
