Case	Makespan	Added Copy
case_001	233110	0
case_002	261945	0
case_003	602212	0
case_004	392357	0
case_005	95618	0
case_006	82837	16400
case_007	1012562	0
case_008	487605	0
case_009	153261	0
case_010	86969	0
case_011	184697	0
case_012	59088	0
case_013	263949	0
case_014	17698626	71010720
case_015	177362	180256
case_016	7715523	0
case_017	162810	22528
case_018	1004367	1970176
case_019	81144	0
case_020	532746	0
case_021	6567937	4501504
case_022	56780	0
case_023	122614	0
case_024	2555343	0
case_025	4863026	0
case_026	99203	0
case_027	2363952	1400832
case_028	43836040	277412256
case_029	37555	0
case_030	2808034	5519360
case_031	1414369	3491328
case_032	41443	0
case_033	1774196	4592640
case_034	842996	1079832
case_035	169571	0
case_036	931510	0
case_037	210001	0
case_038	1364555	5627904
case_039	1435262	7929856
case_040	253454	0
case_041	6003957	30898176
case_042	1686740	6629376
case_043	677656	49160
case_044	154407	4438112
case_045	125614	0
case_046	276455	3176288
case_047	326508	0
case_048	222220	0
case_049	196276	0
case_050	149690	0
case_051	607628	0
case_052	180301	0
case_053	1472686	5405536
case_054	815051	0
case_055	118835	69632
case_056	277285	0
case_057	59726	94216
case_058	4539717	28696576
case_059	829473	1691648
case_060	888789	2068520
case_061	77191	0
case_062	2854809	0
case_063	1070397	0
case_064	19116	0
case_065	53068	0
case_066	359070	0
case_067	63834834	264449408
case_068	362095	0
case_069	25144	0
case_070	117300	0
case_071	18919	0
case_072	23897828	108613680
case_073	10081626	141570432
case_074	1682239	6070280
case_075	1441809	0
case_076	6185113	28280832
case_077	495320	0
case_078	2296143	12644568
case_079	31052251	32448512
case_080	292138	548864
case_081	151795	0
case_082	721041	0
case_083	1057993	13934688
case_084	2507412	0
case_085	3187899	0
case_086	118403	0
case_087	3974071	7902720
case_088	243623	0
case_089	693092	0
case_090	1178363	21233592
case_091	9186769	53947008
case_092	4815554	66000096
case_093	74205	0
case_094	94892	0
case_095	2084853	0
case_096	84194	0
case_097	11491509	10584064
case_098	177430	0
case_099	1622999	5484544
case_100	151223	0
