Case	No-L2 Makespan	No-L2 Added Copy	L2 Makespan	L2 Added Copy	Cache Hit Rate
case_001	78545	2304	78545	2304	0.0
case_002	92763	414720	92763	414720	0.0
case_003	324351	3240190	323669	3240190	0.2874018222179396
case_004	134043	221184	134043	221184	0.0
case_005	65735	573322	65677	573322	0.24448973072736738
case_006	30478	93596	26108	883590	0.2622993550477814
case_007	338094	55296	338094	55296	0.0
case_008	163359	0	163359	0	0.0
case_009	94134	22016	94134	22016	0.019034723499508868
case_010	32083	520024	32059	581208	0.33472179733483437
case_011	65307	1640448	64452	1656832	0.39880239520958083
case_012	18679	136870	18293	124570	0.11174608183804588
case_013	88351	16384	88351	16384	0.0
case_014	5995132	57561504	5987125	57561504	0.3265509429988177
case_015	52476	933008	51965	893062	0.3376388672057951
case_016	7715523	0	7715523	0	0.0
case_017	48159	167040	48159	167040	0.0278911584002461
case_018	339600	7951364	339659	7894020	0.31102712900955315
case_019	27888	60484	27888	60484	0.22959325958540028
case_020	177888	16384	177888	16384	0.0
case_021	2160509	15859712	2154215	15839232	0.4230383554775633
case_022	19410	57908	19410	57908	0.19102066272171775
case_023	32103	731812	31999	738980	0.2212870403815774
case_024	2555343	0	2555343	0	0.0
case_025	1622164	55296	1622164	55296	0.0
case_026	39226	596400	38049	543672	0.416269546335563
case_027	788058	14323712	787682	14661632	0.11668255481410868
case_028	15601774	267822360	15654706	267822360	0.08719367646086174
case_029	12743	0	12743	0	0.0
case_030	934706	5675008	934706	5675008	0.5073183832415737
case_031	486205	6440236	484527	6440236	0.5232243883559673
case_032	13132	30750	12829	336180	0.31630444194302537
case_033	593966	6113280	592782	6033408	0.3998707252206789
case_034	271473	3272216	271277	3332640	0.3674446007526843
case_035	98323	0	98323	0	0.0
case_036	311345	2304	311345	2304	0.0
case_037	71032	905216	70970	905216	0.38741721854304634
case_038	454994	8191488	454430	8191488	0.3894971954550365
case_039	480630	20086784	472526	20094976	0.4049657534246575
case_040	111804	117094	111792	117094	0.03530299902447712
case_041	2007756	24100864	2003476	24100864	0.26413630110409536
case_042	574557	17031200	578699	8079744	0.4753423522152744
case_043	262065	445558	262065	445558	0.13789464821320982
case_044	61990	2182848	46862	3048032	0.6021907237298807
case_045	43748	16384	43748	16384	0.0
case_046	93895	3062976	83761	4381504	0.7665439717740705
case_047	212513	1610124	212500	1610124	0.22841786886469292
case_048	162835	827660	162835	827660	0.21919937281223567
case_049	135614	957994	135556	957994	0.10446863497533088
case_050	68372	896938	68366	896938	0.2417760686650139
case_051	312911	721816	313900	721828	0.6468295623994014
case_052	58693	687906	58693	687906	0.1728729510078516
case_053	517826	6261728	495053	6261728	0.5001404930793218
case_054	455974	3647684	455814	3647684	0.09066643291984652
case_055	34331	90624	34331	90624	0.11573951868804583
case_056	181961	1352776	181905	1352776	0.11033937126271987
case_057	20132	24064	20132	24064	0.04451474663166515
case_058	1500577	31592448	1495353	31690752	0.2727175539875989
case_059	252305	1822720	251809	1822720	0.5926449787835927
case_060	291567	3728456	290977	3728456	0.3343050530656416
case_061	28490	29456	28490	29456	0.04435142343149539
case_062	1064140	10361856	1064140	10361856	0.0
case_063	388538	2792448	388538	2792448	0.0
case_064	12434	73612	12434	73612	0.2518027185246602
case_065	16407	292020	15450	214200	0.1472305464217075
case_066	195074	1684424	194694	1684424	0.3242034016030798
case_067	21315128	244452096	21544287	251315968	0.3776827020070263
case_068	230707	1903456	229577	1903456	0.24169304515570553
case_069	13549	195784	13549	195784	0.3374641733803083
case_070	39454	101892	39551	101892	0.053972415802264695
case_071	9952	139974	9951	143334	0.18197568197568198
case_072	8030776	101060656	8011757	100642864	0.1403263607291016
case_073	3806377	143758464	4080713	139944576	0.06943156528189912
case_074	552262	7208968	551505	7299080	0.2832833075048133
case_075	770014	4328940	769927	4328940	0.30502532483783024
case_076	2057374	22785024	2056318	22681600	0.22257684562483376
case_077	167493	540266	167493	540266	0.07406153338589899
case_078	710734	6038784	707541	6023424	0.5781987142931204
case_079	9859507	32677888	9859507	32677888	0.1903267000106417
case_080	101399	909312	98453	2535424	0.17511961722488037
case_081	50925	502286	50925	502286	0.283488168180578
case_082	408000	1892236	407632	1892236	0.2895177869012054
case_083	297897	3257536	294382	3245248	0.4974270718279349
case_084	839098	9216	839098	9216	0.0
case_085	1705149	7682444	1703258	7682444	0.24991751659465627
case_086	66789	1077548	67006	1095500	0.37385549192414524
case_087	1412551	7490354	1384476	7254764	0.25488027561810056
case_088	136104	1338180	135748	1338180	0.22700845684547358
case_089	231898	1235200	231898	1235200	0.3729092526690391
case_090	395863	9327360	315353	9326592	0.7266926994033331
case_091	3096231	34078944	3084055	34078944	0.4331074442545621
case_092	1951164	66555392	1571720	66555392	0.7523384780562544
case_093	25301	57344	25301	57344	0.0
case_094	28647	825416	28359	783688	0.2151569126727191
case_095	695775	0	695775	0	0.0
case_096	30447	389148	30447	389148	0.4306016987590763
case_097	3588775	15372288	3587840	15372288	0.31322628354109444
case_098	60568	586060	60582	586052	0.3166138342727646
case_099	539310	3981772	539261	3981772	0.5140371038707197
case_100	57307	170504	57307	170504	0.2735141944185218
