case,ops,eligible_ops,tensors,edges,critical_path,depth,width,components,pipe_M,pipe_V,communication_compute_ratio,max_fan_in,max_fan_out,sha256,load_seconds
case_001,1001,600,1202,2402,1316,2,200,200,232800,30400,6.224924012158055,1,1,052a49324ad7011853adcbb13f953571501d4f1b3c07a80531a63b607f8628ab,0.0225298000004841
case_002,2197,1798,2595,5392,2976,23,199,1,240000,35928,10.003305210054798,2,1,3d0c27c930876bd38e49ff6dc8c63de93bcceba759225ff948e75d5edb9e4150,0.0356128000003082
case_003,13670,13455,13868,36295,28285,304,325,10,438792,325189,17.01082094973566,2,9,298d89f65a4a3c3f778167699157f67019dd462dd8228253d83258c18af89bc9,0.2602210999993986
case_004,1002,777,1116,2670,2748,5,222,111,385614,47952,10.224270353302611,2,2,e5ec5f45a7f0406f88fccdaa20947cfa71fcfff46604dc0a025887201ddb447c,0.024178800000299816
case_005,4209,4113,4298,11187,6894,137,196,1,63882,60930,38.414767810787424,2,7,c804e2fb1617d6717a475511886ca46b4956ccd84633e1762706072473609917,0.07953189999898314
case_006,851,678,982,1995,2836,21,116,27,18660,69000,30.53153091489847,2,11,5ea889b0b9db14a0406db8857870dda09f726b618758996c7d2741aa16bd4d8e,0.015589599999657366
case_007,4998,3885,5556,13326,1632,5,1110,555,979020,253080,8.994594594594595,2,2,a6c1e6fe03e40916a4ca6ba51b0a5305723c91a8b37fb4e1693aee9fde1379df,0.0807595999995101
case_008,1404,864,1836,3348,4512,7,108,108,250128,237168,28.680851063829788,2,2,dbf747767014caab9ede8edfa2390b45cf79b0754db6aa971c112b4b277e370f,0.023927300000650575
case_009,6058,5671,6376,15754,9965,365,217,25,65160,119992,16.85887270998963,2,6,4780b856dc63e58adfd681f064005559ce0bd1fa94c67dca0dc8025708eceea7,0.11182019999978365
case_010,796,667,889,1899,3146,61,80,36,44610,55496,23.493536850938007,2,13,b9bb8f27defc96dd41243d7cf4daca5792c55998fa66f003808c8c5e5c27456a,0.014851500000077067
case_011,880,688,1056,2448,2120,21,352,16,184448,25536,13.108198719902468,2,1,acb20be91639e5fc0a9e7d21ed348c28268481fb50baf32bfd37227ffaa065f0,0.014329999999972642
case_012,1304,972,1555,3131,2506,18,195,50,35572,32237,14.034154758217936,2,7,d75bb55cff5b2c8c5eb8d70998469a58b0fc0628cef5b091d1e79d49a3087fa3,0.02151899999989837
case_013,3202,1968,4190,8126,400,3,984,246,263712,43296,11.487179487179487,2,1,184e6e3b593a93246f06bc0901c0cbcdac68936ea31807d14acbdfae8cff01be,0.04927069999939704
case_014,38666,35705,40287,108272,31968,123,15921,1340,17225748,1651424,9.198515646305495,2,2,6134f04bbdbc7c18ddbc681bbf7e564272de9c043a36da80e7ec548fbccd0d53,0.8972702000010031
case_015,1290,1013,1501,3107,7913,28,172,46,94980,101497,17.30650406917858,2,11,c8c6e1f22507dc74daf17dd1642200ff93a801c2f6cb96ce6f4f01203fd6d8fc,0.04355710000163526
case_016,18008,17995,18020,43019,655140,2439,12,1,0,7714975,46.63830485516803,2,12,2962112f3a01d5afa55d635159df047f0073374c8528bb91a55cba12616b88b2,0.30893099999957485
case_017,1758,1373,2015,4245,5980,17,233,60,110600,67202,10.689846008481345,2,8,d59dadacc986aca2badfd8db0309259d043c14f3a320f20c467044004d4f7004,0.04187850000016624
case_018,3285,2727,3717,8718,3539,27,1084,126,971320,112731,8.599770674995918,2,2,60fce5e6937b5f4601f17c776c87d68cf8b494b3b70943e455010133f337fb15,0.057870099999490776
case_019,766,647,854,1841,12234,78,57,31,48436,40276,18.36202543060691,2,2,2de5aad076bc34c5213fb5551395e56b29c4d29dd8a635f167685777c095b8f9,0.013364400001592003
case_020,7584,7008,7872,18048,1824,23,576,288,0,532608,62.01586157173756,2,2,a3af67ae6d4a7bb5505a6f7a8d2e363e0eb4ba5e9411ff04efd160b530e9774c,0.12482280000040191
case_021,4450,3920,4900,12820,5544,6,2000,80,6192000,783360,6.764657308009909,2,1,b7cb9d028c4a08ead70a302575f89396b0046cfc506059b702998578551eda9c,0.09083180000016
case_022,1567,1356,1705,3720,1986,35,149,32,4484,54087,34.97727544347885,2,10,07bc718ea35be90e2e9988faa37b15c5d6dd82a4a16aeceb5a122a2a7e4f6a29,0.02737399999932677
case_023,1202,1011,1336,2869,4218,30,96,43,63384,69558,19.427419476162537,2,7,0043ccd4f61bb3eb3475c1396393395847d13b2bbfd9d6e1079695089091035d,0.018823099999281112
case_024,5972,5959,5984,14255,216948,807,12,1,0,2554795,46.638298571901075,2,12,c6e4035374efe4cf9ef261c5ee84230b4393e6c4529d9e76a463dba33b47116c,0.1025324999991426
case_025,23997,18662,26666,63990,1632,5,5332,2666,4702824,1215696,8.994594594594595,2,2,66b1804640584a080becf66021879b0dfd77f15a3a2893adfc080452c2a82e5e,0.5681359000009252
case_026,769,636,871,1849,4319,48,76,31,40992,70768,31.003883321403006,2,10,0c8dd795ba2e83a769426b173c9f36d6e718eaf89321d577d2211a3a2272c39d,0.02823320000061358
case_027,1800,1424,2160,5024,21048,44,720,16,2229120,287232,6.875629482679689,2,1,fffca0a17cb00a811a9fb17f75246f540fbed7f3ee4fc55dfa7079a3d2992aa1,0.03887670000040089
case_028,19944,19584,20151,51822,246816,123,306,153,38974608,1975536,2.703012912482066,2,2,9fd17690cb1d9c2ceff31002e73e28b86c6ace1d1b630aa991c2230c392245a8,0.5851799000010942
case_029,1113,861,1281,2772,407,11,168,21,0,37485,18.38879551820728,2,5,8c59ed128e29abd0acde55f45be88dfc772ad68721e9e3f0dc511f55ecfb8dbd,0.03394320000006701
case_030,11248,10070,11940,30954,1494,11,4472,486,2776480,406822,12.880642804232837,2,1,9b88757a1a36b2f6b51338d127c0fdbafaabc065bd73d3084849d27df182ac49,0.3321469000002253
case_031,6805,6135,7365,18435,13057,135,1659,107,1334492,221025,10.904971144641943,2,9,49fb82b9e857a6abc734b457a6da0223ad959e1055660d4bb6f04ade2c0561a4,0.1958467999993445
case_032,1035,827,1186,2469,1146,29,137,25,10150,33995,21.69369124476158,2,9,1082fc4b2f42f823b5eaec48ec9196d9afb63b27441d8d7eb728ad3ed6eef3c7,0.025911500000802334
