case,problem,cores,baseline,multiseed,vns,improvement_percent,vns_gain_percent,runtime
case_001,1,2,128182,118572,118572,7.497152486308534,0.0,2.2092427000006865
case_001,1,4,71604,69030,65337,8.752304340539629,5.3498478922207715,4.291199500001312
case_005,1,2,100421,95618,95618,4.78286414196234,0.0,17.01850960000047
case_005,1,4,163274,95618,95618,41.43709347477247,0.0,25.844118599998183
case_019,1,2,64234,48865,40506,36.93993835040633,17.10631331218664,4.1737407999989955
case_019,1,4,74218,30438,26739,63.972351720606866,12.152572442341814,5.182369399999516
case_025,1,2,2440034,2435650,2435650,0.17966962755436855,0.0,127.32793500000116
case_025,1,4,1263362,1233570,1233570,2.358152295224958,0.0,121.13572550000026
case_050,1,2,163349,122326,120297,26.355839337859432,1.6586825368278157,40.71439569999893
case_050,1,4,178483,118619,116017,34.99829115377935,2.19357775735759,43.22957360000146
case_085,1,2,3171548,3165851,3165851,0.179628370751439,0.0,121.34356920000027
case_085,1,4,3184106,3166337,3166337,0.5580530296416031,0.0,124.53811250000035
case_001,2,2,121455,116868,116868,3.776707422502157,0.0,2.336395000002085
case_001,2,4,61174,58984,58984,3.5799522673030992,0.0,2.7004578999985824
case_005,2,2,75335,75335,70955,5.8140306630384275,5.8140306630384275,31.023114199999327
case_005,2,4,69737,69737,64415,7.631529890875721,7.631529890875721,32.46142519999921
case_019,2,2,49792,40565,37836,24.011889460154244,6.727474423764324,3.901149400000577
case_019,2,4,54841,25321,24571,55.19593005233311,2.9619683266853603,3.857434800002011
case_025,2,2,2433638,2433638,2433638,0.0,0.0,121.05126849999942
case_025,2,4,1252074,1230186,1230186,1.7481394869632294,0.0,126.26515309999922
case_050,2,2,119065,106866,104345,12.362995002729605,2.359029064435836,37.37384170000041
case_050,2,4,106443,101265,89342,16.065875632967874,11.77405816422259,33.408556500000486
case_085,2,2,2726113,2418657,2418657,11.27818252581606,0.0,123.45870830000058
case_085,2,4,2301648,1787208,1787208,22.350941586202577,0.0,126.44288840000081
case_001,3,2,121455,116868,116868,3.776707422502157,0.0,2.662055299999338
case_001,3,4,61174,58984,58984,3.5799522673030992,0.0,2.960733199999595
case_005,3,2,75277,75277,70926,5.779985918673702,5.779985918673702,31.50812379999843
case_005,3,4,68007,68007,63084,7.238960695222552,7.238960695222552,32.7519386999993
case_019,3,2,49751,40565,37836,23.94926735141002,6.727474423764324,4.067682300001252
case_019,3,4,54585,25280,24571,54.985801960245496,2.8045886075949378,3.9195233000009466
case_025,3,2,2433638,2433638,2433638,0.0,0.0,122.93058659999951
case_025,3,4,1252074,1230186,1230186,1.7481394869632294,0.0,121.09406139999919
case_050,3,2,119059,106866,104345,12.358578519893493,2.359029064435836,39.98469699999987
case_050,3,4,106117,101151,99934,5.826587634403535,1.203151723660667,43.214143199998944
case_085,3,2,2726113,2418605,2418605,11.280090003605869,0.0,125.78382369999963
case_085,3,4,2301312,1783789,1783789,22.48817196451416,0.0,122.38775560000067
