case,cores,no_L2_makespan,L2_makespan,L2_speedup,cache_hit_rate,added_copy_bytes
case_001,2,116868,116868,1.0,0.0,1152
case_001,4,58984,58984,1.0,0.0,3456
case_005,2,70955,70926,1.0004088768575699,0.133677199563628,532518
case_005,4,64415,63084,1.0210988523238855,0.3298714837196423,1582958
case_019,2,38711,38711,1.0,0.1030195171847008,278572
case_019,4,21615,21574,1.0019004357096506,0.25112971671063195,251432
case_025,2,2433638,2433638,1.0,0.0,27648
case_025,4,1221092,1221092,1.0,0.0,82944
case_050,2,94870,94870,1.0,0.10895017697385112,270734
case_050,4,61906,61815,1.001472134595163,0.2699391171993912,655350
case_085,2,2406698,2406646,1.0000216068337429,0.11215707045780116,4843014
case_085,4,1780422,1777418,1.001690092032375,0.356154011419702,10042258
