problem,cores,algorithm,count,mean_normalized_makespan,mean_speedup_vs_baseline,mean_runtime
1,2,baseline,6,1.0,1.0,2.003491849999591
1,2,multiseed,6,0.8654527578587455,1.1791076676683863,22.627641749999686
1,2,vns,6,0.8577397248638435,1.1931240180424534,48.05253516666653
1,4,baseline,6,1.0,1.0,1.8275725833336764
1,4,multiseed,6,0.7009089061429424,1.6111582414141516,33.28598048333364
1,4,vns,6,0.6876324650514478,1.6496691913063135,51.409332416666984
2,2,baseline,6,1.0,1.0,2.94906940000025
2,2,multiseed,6,0.9217625760721925,1.0923886495563406,22.47023036666633
2,2,vns,6,0.8935283066200853,1.1291634084386846,49.31940041666682
2,4,baseline,6,1.0,1.0,2.0730565833334063
2,4,multiseed,6,0.7889168764725624,1.4033787437484517,23.095609599999687
2,4,vns,6,0.7702961835008189,1.4445376474818978,49.98350804999973
3,2,baseline,6,1.0,1.0,2.637214250000094
3,2,multiseed,6,0.9217242169343676,1.092400173303203,24.44263638333329
3,2,vns,6,0.8936953450001812,1.1289164854996845,51.2959206000005
3,4,baseline,6,1.0,1.0,2.056609216666402
3,4,multiseed,6,0.7890503436303133,1.402153349774362,22.22423821666598
3,4,vns,6,0.769528397128639,1.4470176103386823,50.32760708333293
