case,problem,cores,v1_makespan,v2_makespan,v2_improvement_percent,v1_runtime,v2_runtime
case_001,1,2,118572,118572,0.0,2.2092427000006865,2.1365514999997686
case_001,1,4,65337,65337,0.0,4.291199500001312,3.77226200000041
case_001,2,2,116868,116868,0.0,2.336395000002085,1.7628500999999233
case_001,2,4,58984,58984,0.0,2.7004578999985824,1.9185472999979538
case_001,3,2,116868,116868,0.0,2.662055299999338,1.8372489000012138
case_001,3,4,58984,58984,0.0,2.960733199999595,1.9999906000011833
case_005,1,2,95618,95618,0.0,17.01850960000047,12.497021699999095
case_005,1,4,95618,95618,0.0,25.844118599998183,17.89916230000017
case_005,2,2,70955,70955,0.0,31.023114199999327,22.540370299999267
case_005,2,4,64415,64415,0.0,32.46142519999921,23.369092900000396
case_005,3,2,70926,70926,0.0,31.50812379999843,22.780270699999164
case_005,3,4,63084,63084,0.0,32.7519386999993,23.588038699999743
case_019,1,2,40506,44825,-10.662617883770299,4.1737407999989955,3.04812850000053
case_019,1,4,26739,27204,-1.7390328733310811,5.182369399999516,3.3301100000007864
case_019,2,2,37836,38711,-2.3126123268844445,3.901149400000577,2.7673972000011418
case_019,2,4,24571,21615,12.030442391437058,3.857434800002011,2.8261821000014606
case_019,3,2,37836,38711,-2.3126123268844445,4.067682300001252,2.83836760000122
case_019,3,4,24571,21574,12.197305766961053,3.9195233000009466,2.9267578999988473
case_025,1,2,2435650,2435650,0.0,127.32793500000116,123.2507198000003
case_025,1,4,1233570,1233570,0.0,121.13572550000026,127.72148109999944
case_025,2,2,2433638,2433638,0.0,121.05126849999942,121.31571480000093
case_025,2,4,1230186,1221092,0.7392378063154625,126.26515309999922,123.94050729999981
case_025,3,2,2433638,2433638,0.0,122.93058659999951,128.10608630000024
case_025,3,4,1230186,1221092,0.7392378063154625,121.09406139999919,123.81233269999939
case_050,1,2,120297,110633,8.033450543238818,40.71439569999893,26.011643099998764
case_050,1,4,116017,84661,27.027073618521424,43.22957360000146,35.007379100001344
case_050,2,2,104345,94870,9.08045426230294,37.37384170000041,26.696740699999282
case_050,2,4,89342,62903,29.59302455731907,33.408556500000486,25.465148899998894
case_050,3,2,104345,94870,9.08045426230294,39.98469699999987,27.092738200000895
case_050,3,4,99934,61815,38.1441751556027,43.214143199998944,25.81957059999877
case_085,1,2,3165851,2841441,10.247165769962008,121.34356920000027,121.37114640000073
case_085,1,4,3166337,2580374,18.506021311060692,124.53811250000035,120.72559999999976
case_085,2,2,2418657,2406698,0.49444795190057844,123.45870830000058,120.83332940000037
case_085,2,4,1787208,1780422,0.3796983898908257,126.44288840000081,122.38156979999985
case_085,3,2,2418605,2406646,0.49445858253001074,125.78382369999963,125.12081190000026
case_085,3,4,1783789,1777418,0.3571610767865496,122.38775560000067,123.81895199999963
