problem,cores,algorithm,count,mean_normalized_makespan,mean_speedup_vs_baseline,mean_runtime
1,2,baseline,33,1.0,1.0,1.7169305424240795
1,2,multiseed,33,0.7304007330901243,1.4803653055961112,35.44410738484845
1,2,vns,33,0.7220932670558429,1.4985430067014311,79.55314623333282
1,3,baseline,33,1.0,1.0,1.7331452363626643
1,3,multiseed,33,0.6797864443063958,1.6669482736629133,34.70514222121071
1,3,vns,33,0.6650554500559509,1.7030032276809988,79.14151108181778
1,4,baseline,33,1.0,1.0,1.6610778969702413
1,4,multiseed,33,0.6383171313673512,1.8394000368285897,33.37318409090883
1,4,vns,33,0.6231753220362792,1.8855328419564386,77.53291531212193
1,5,baseline,33,1.0,1.0,1.7648651606050958
1,5,multiseed,33,0.5967522432611868,2.0505340564868404,33.46352725757518
1,5,vns,33,0.5843161178901498,2.1197748226276345,79.23723639090807
2,2,baseline,33,1.0,1.0,1.9565548121205543
2,2,multiseed,33,0.8292951428962897,1.2672130793686098,25.63017783333326
2,2,vns,33,0.8110397300879104,1.2982622950419114,60.281169672727025
2,3,baseline,33,1.0,1.0,1.779598918181419
2,3,multiseed,33,0.7579357181877152,1.4383242208661364,24.767465818180813
2,3,vns,33,0.7379506004949421,1.48622879792331,59.250566663635254
2,4,baseline,33,1.0,1.0,1.69867486666507
2,4,multiseed,33,0.7376667064541806,1.510728974930222,23.997841999998357
2,4,vns,33,0.7174628187249129,1.5604655803097627,55.18589055454372
2,5,baseline,33,1.0,1.0,1.674762193938615
2,5,multiseed,33,0.7017504624751914,1.656661850699199,23.696561460605704
2,5,vns,33,0.6785667548011495,1.7695059651882792,55.409275890909186
3,2,baseline,33,1.0,1.0,2.009351521211846
3,2,multiseed,33,0.8343551412275798,1.2474861619792186,26.165093999999844
3,2,vns,33,0.8153732307978022,1.2798968240698771,61.315303015151144
3,3,baseline,33,1.0,1.0,1.837336166667669
3,3,multiseed,33,0.7623947173023401,1.420270160265693,24.85322808181831
3,3,vns,33,0.7407437821857082,1.4769265659934894,59.62473445454552
3,4,baseline,33,1.0,1.0,1.7240477909085299
3,4,multiseed,33,0.7423680003236934,1.482242357805337,24.45812989393876
3,4,vns,33,0.7230557156027928,1.5537909507270367,57.206151236362615
3,5,baseline,33,1.0,1.0,1.6907398878787663
3,5,multiseed,33,0.7111303992747174,1.65119507504694,24.139912642424118
3,5,vns,33,0.687609153474225,1.7557893540345428,56.532645893939566
