problem,cores,algorithm,count,mean_normalized_makespan,mean_speedup_vs_baseline,mean_runtime
1,2,baseline,1,1.0,1.0,0.5529041999998299
1,2,multiseed,1,0.9521713585803766,1.0502311280302872,9.280350799999724
1,2,vns,1,0.9521713585803766,1.0502311280302872,12.344188300001406
1,4,baseline,1,1.0,1.0,0.6779942999983177
1,4,multiseed,1,0.5856290652522753,1.7075655211361878,10.756405899999663
1,4,vns,1,0.5856290652522753,1.7075655211361878,17.632165299999542
2,2,baseline,1,1.0,1.0,0.6512754000013956
2,2,multiseed,1,1.0,1.0,7.991544800001066
2,2,vns,1,0.9418596933696157,1.06172926502713,22.25713270000051
2,4,baseline,1,1.0,1.0,0.6630602999994153
2,4,multiseed,1,1.0,1.0,7.967805299998872
2,4,vns,1,0.9236847010912428,1.0826205076457347,22.986308599998665
3,2,baseline,1,1.0,1.0,0.6594208999995317
3,2,multiseed,1,1.0,1.0,8.176264399999127
3,2,vns,1,0.942200140813263,1.0613456278374644,22.6449190000003
3,4,baseline,1,1.0,1.0,0.6870172999988426
3,4,multiseed,1,1.0,1.0,8.079630599999291
3,4,vns,1,0.9276103930477745,1.0780388054023207,23.435457999999926
