case,no_l2_makespan,l2_makespan,l2_speedup,cache_hit_rate,added_copy_no_l2,added_copy_l2,plan_sha256,seconds
case_001,233110,233110,1.0,0.0,0,0,64d6f2b297b709b570b8b55d1d194fec38860aedf63c11aaf60cc64933d51970,0.1610672000097111
case_002,261945,261945,1.0,0.0,0,0,9ea2961cb0761ffab25876943b4d07b7bce76d5ae992463dcafc6a35067694e6,0.39423670002724975
case_003,602212,602212,1.0,0.0,0,0,9884e679c683a418ad5bce02eb776685aa89eae405a0ea2ac9d39fa0029c5abe,8.236050800071098
case_004,392357,392357,1.0,0.0,0,0,2c384cb279beb8e7c1d475033d20417f9be21aae85ba7cd3f27346a871c476f2,0.20007130003068596
case_005,95618,95618,1.0,0.0,0,0,f5ef7fed6dfc1dcefef4ff6e9f93c69f9c8700ae9023887c297987bd655cab19,1.2494366000173613
case_006,82837,82837,1.0,0.029275126148920052,16400,16400,d40408d706a30c9406558f5770a0c11a0fe555b6ef3a1bbaaefa0c8d55f32914,0.16408210003282875
case_007,1012562,1012562,1.0,0.0,0,0,2f9f56272856e422f5cfd8c39b111f190a2382aa245cfc036013f67978bbb724,1.670757899992168
case_008,487605,487605,1.0,0.0,0,0,9e49010cefed73ae3d54de40191e0be23e81a73ec4cb204a97d438f8d1b73e3b,0.29658750002272427
case_009,153261,153261,1.0,0.0,0,0,7aa3e2e81c9dd57a463e7c451df5a095135c5308617d1f03a02a0f2b6bb60036,2.4083830000599846
case_010,86969,86969,1.0,0.0,0,0,038a6e2f7f97545195df20bd7dc3b802521223c0e618f34bd9697d1f9c73ebdb,0.13593270001001656
case_011,184697,184697,1.0,0.0,0,0,dd532f33d8dba0014f7021fab8cde4ed9ea0c35357558500c69bfc1e1ceca465,0.17373409995343536
case_012,59088,59088,1.0,0.0,0,0,2299a9bcb1fef463811628875730214b4b39170c5c34df561ec2ce3b886d9dca,0.23599280009511858
case_013,263949,263949,1.0,0.0,0,0,b43a2d879758c1855d0c5d1f91e4d37cbfb200f27ed7c8d01111594cf43b0ffe,0.790109800058417
case_014,17698626,17689602,1.0005101301883446,0.12291025483195864,71010720,71010720,e4470d63e799b39297ce8ca9f032c36890a56cad0044a10c7428fac25edf97c2,23.586900700000115
case_015,177362,177362,1.0,0.1692685978123867,180256,180256,be67ba9c63e4822c80a1c606810e911c4fbd51ed2473b04c77d510b1ef97f1a2,0.2211519000120461
case_016,7715523,7715523,1.0,0.0,0,0,ceb691fa3f6538b83035d95def0b97b3c816ea719b0a9eb61639b5899d297c41,15.97755260008853
case_017,162810,162810,1.0,0.040398388942088706,22528,22528,f7d0f847e65f31b26b41fa1e2c12d767e7cb21739e4546eb9b26197b1d4f76fc,0.3121383999241516
case_018,1004367,1003110,1.0012531028501361,0.34375031576536474,1970176,1970176,e12c9c1403811614a67afee8d8c39c2e23f96eb99aa1f87302f2ece2d60f77af,0.6739328999537975
case_019,81144,81144,1.0,0.0,0,0,ba3b5e162323e37db2b485471deb0ce1c53eb82b9640834648cf30469481679b,0.12996589997783303
case_020,532746,532746,1.0,0.0,0,0,7ddee8492be9d4e50fbf482badb38b6b5fc65bf73aa53b9d8c47733aca95ef7d,1.8381840999936685
case_021,6567937,6558837,1.0013874410966457,0.5005973715651135,4501504,4501504,75c76d7ca84bf5240860631260ea9acadc6a6a12f28c2b338762b8ba1f477e40,1.8235223999945447
case_022,56780,56780,1.0,0.0,0,0,eaf1cfb44676adb9e2de432e7d8b63d9a13928fb5cad53d4fd5288cfe6c4dcaf,0.30411800008732826
case_023,122614,122614,1.0,0.0,0,0,4824d37f7e18bdf281fc18e240eac9c7adfc06bde5a86778aa6e2baab0d61d5e,0.21761539997532964
case_024,2555343,2555343,1.0,0.0,0,0,60bdfaac27bdd7cbde4e5b65714b5f6b492e1f8b829661c21657b3a1a8c4b1a9,2.345414699986577
case_025,4863026,4863026,1.0,0.0,0,0,3dfdd9e81db84bf4367303e264285f4d7d544e5e7ffae66758d305d0c9896c10,20.893762399908155
case_026,99203,99203,1.0,0.0,0,0,9c7cea08ea3f9abac362c6287b7f95c552c907084ae00d7cfcc993146cda444b,0.1172885000705719
case_027,2363952,2359515,1.0018804711985303,0.2689393939393939,1400832,1400832,fc190b9e4e6e8f7041e044c2e0bfd673942a4b17c3605109af3b083514832ee1,0.4897089999867603
case_028,43836040,43836040,1.0,0.0,277412256,277412256,88dfcc461a385e9ea71af08347493b0ea09e49fab789200bd9bed0e0e9a0ff10,24.862139099976048
case_029,37555,37555,1.0,0.0,0,0,8c0602d829297e24f835c5e6089f7b199c7661b1d5530315bb9a8df1a8869091,0.21599039994180202
case_030,2808034,2807891,1.0000509279028282,0.259867995341012,5519360,5519360,d6b29aaaa3d69c5f8afc7287bcecbff433206abf031953532a4b863effec05c8,4.669260299997404
case_031,1414369,1414159,1.0001484981533193,0.26059362793218216,3491328,3491328,5b7474d17dc239aba45544511942ed7e90340f54970174c6f99f52983511c0b7,1.808288700063713
case_032,41443,41443,1.0,0.0,0,0,ae8c0b3c6fbff007ff2f81a0672424e0fc9b4f162bfb791127c8989fb291132a,0.2149822999490425
case_033,1774196,1774080,1.000065386002886,0.09627692445862406,4592640,4592640,4e9616d8b5284e12ac96679481d9c1df20d38f83e1e52aaae2f3765b09f69dfd,0.9873283000197262
case_034,842996,842733,1.0003120798639664,0.309046599146855,1079832,1079832,73a6322df4957ae15a9af6cf2a0a89c072427f076e3920c4fe59930b883f40e4,1.168363400036469
case_035,169571,169571,1.0,0.0,0,0,6a3b6a8e9352203283d45469c90f6c0d75a56f6e841627e3ffdc298590eccd50,1.0584766999818385
