problem,cores,algorithm,count,mean_normalized_makespan,mean_speedup_vs_baseline,mean_runtime
1,2,baseline,2,1.0,1.0,0.10765469999932975
1,2,multiseed,2,0.8428813328762382,1.197783698490636,1.3962938499989832
1,2,vns,2,0.7778145458164256,1.3334187808605313,3.185593099999096
1,4,baseline,2,1.0,1.0,0.13859175000015966
1,4,multiseed,2,0.6870842159566316,1.7378108987316256,1.815030249999836
1,4,vns,2,0.6363767196942676,1.935782073145968,4.667283099999622
2,2,baseline,2,1.0,1.0,0.0983342499976061
2,2,multiseed,2,0.8884610162293916,1.1333557537289636,1.0312598999980764
2,2,vns,2,0.861057015586718,1.1776223789678992,3.134875799997644
2,4,baseline,2,1.0,1.0,0.12519849999898724
2,4,multiseed,2,0.7129585381109782,1.6014797231273223,1.2727965999993103
2,4,vns,2,0.7061205884018189,1.6345344024248178,3.3287543499991443
3,2,baseline,2,1.0,1.0,0.12522400000034395
3,2,multiseed,2,0.8887967105207026,1.132850391963895,1.1665850000008504
3,2,vns,2,0.8613701261304392,1.177080566937029,3.342458200000692
3,4,baseline,2,1.0,1.0,0.13413744999979826
3,4,multiseed,2,0.7136656870467399,1.598172742511593,1.3875378000002456
3,4,vns,2,0.707171228862257,1.6293250092377272,3.4432574499996917
