case,makespan,added_copy_bytes,seconds
case_001,233110,0,0.15221889992244542
case_002,261945,0,0.5596407999983057
case_003,602212,0,20.210416500107385
case_004,392357,0,0.14525619999039918
case_005,95618,0,1.9753089000005275
case_006,82837,16400,0.11449990002438426
case_007,1012562,0,2.942285400000401
case_008,487605,0,0.2660919999470934
case_009,153261,0,4.059137400006875
case_010,86969,0,0.1000488999998197
case_011,184697,0,0.1270296999718994
case_012,59088,0,0.2099483999190852
case_013,263949,0,1.1595542000140995
case_014,17698626,71010720,441.42365509993397
case_015,177362,180256,0.22489209997002035
case_016,7715523,0,36.6305946999928
case_017,162810,22528,0.3425179999321699
case_018,1004367,1970176,1.4234592000721022
case_019,81144,0,0.0955957000842318
case_020,532746,0,5.7926610999275
case_021,6567937,4501504,3.7938842999283224
case_022,56780,0,0.3110284999711439
case_023,122614,0,0.21201210003346205
case_024,2555343,0,4.511176100000739
case_025,4863026,0,77.13707799999975
case_026,99203,0,0.15943529992364347
case_027,2363952,1400832,0.6517455000430346
case_028,43836040,277412256,114.25829919998068
case_029,37555,0,0.1791599999414757
case_030,2808034,5519360,17.82647990004625
case_031,1414369,3491328,5.777914299978875
case_032,41443,0,0.1491150000365451
case_033,1774196,4592640,2.5407713999738917
case_034,842996,1079832,2.555688799940981
case_035,169571,0,1.9856393000809476
case_036,931510,0,1.5245712000178173
case_037,210001,0,0.14384370006155223
case_038,1364555,5627904,7.306078699999489
case_039,1435262,7929856,6.913197899935767
case_040,253454,0,1.2651354999979958
case_041,6003957,30898176,71.28100540000014
case_042,1686740,6629376,4.845752299996093
case_043,677656,49160,9.508512199972756
case_044,154407,4438112,0.35984589997678995
case_045,125614,0,0.3470546000171453
case_046,276455,3176288,0.22935420006979257
case_047,326508,0,22.489765800070018
case_048,222220,0,0.4920409999322146
case_049,196276,0,2.485819000052288
case_050,149690,0,2.913171000080183
case_051,607628,0,0.2877417999552563
case_052,180301,0,0.25531699997372925
case_053,1472686,5405536,15.376119300024584
case_054,815051,0,29.22693220002111
case_055,118835,69632,0.2629428000655025
case_056,277285,0,6.906893100007437
case_057,59726,94216,0.1548171000322327
case_058,4539717,28696576,89.92405150004197
case_059,829473,1691648,1.9308205000124872
case_060,888789,2068520,6.04681970004458
case_061,77191,0,0.31008980004116893
case_062,2854809,0,76.52066380006727
case_063,1070397,0,11.050475700059906
case_064,19116,0,0.16841569996904582
case_065,53068,0,0.13894860004074872
case_066,359070,0,5.029599400004372
case_067,63834834,264449408,26.187371299951337
case_068,362095,0,4.597529599908739
case_069,25144,0,0.19875310000497848
case_070,117300,0,0.3096154999220744
case_071,18919,0,0.11766460002399981
case_072,23897828,108613680,401.7991381000029
case_073,10081626,141570432,6.698964599985629
case_074,1682239,6070280,3.4897949000587687
case_075,1441809,0,8.05818489997182
case_076,6185113,28280832,422.97842309996486
case_077,495320,0,3.155906999949366
case_078,2296143,12644568,0.30058249994181097
case_079,31052251,32448512,113.29629269998986
case_080,292138,548864,0.3460336000425741
case_081,151795,0,2.831054199952632
case_082,721041,0,2.4914686999982223
case_083,1057993,13934688,3.4726203000172973
case_084,2507412,0,26.52591470000334
case_085,3187899,0,51.385142399929464
case_086,118403,0,3.7917080000042915
case_087,3974071,7902720,119.29613759997301
case_088,243623,0,1.6338438999373466
case_089,693092,0,3.7728196000680327
case_090,1178363,21233592,0.8102306000655517
case_091,9186769,53947008,450.3940686000278
case_092,4815554,66000096,76.05239690002054
case_093,74205,0,0.1478026999393478
case_094,94892,0,0.12642260000575334
case_095,2084853,0,4.778936100075953
case_096,84194,0,0.25345359998755157
case_097,11491509,10584064,13.80238970008213
case_098,177430,0,0.3344084999989718
case_099,1622999,5484544,8.925688600051217
case_100,151223,0,0.3699514999752864
